id,period,minute,seconds,type,match.id,match.homeTeamDisplayName,match.awayTeamDisplayName,swimoff.homeTeamSwimmer.playerId_x,swimoff.awayTeamSwimmer.playerId_x,swimoff.winnerSwimmer.playerId_x,exclusion.excludedPlayer.playerId_x,exclusion.fouledPlayer.playerId_x,exclusion.locationX,exclusion.locationY,shot.type,shot.takenBy.playerId_x,shot.blockedBy.playerId_x,shot.isGoal,shot.isFastBreak,shot.isDirectFromFoul,shot.locationX,shot.locationY,shot.targetX,shot.targetY,shot.assistedBy.playerId_x,turnover.type,turnover.lostPossesionPlayer.playerId,shot.savedBy.playerId_x,turnover.wonPossesionPlayer.playerId_x,timeout.team.name,shot.savedBy.playerId_y,shot_saved_playerId,shot_saved_by,turnover.wonPossesionPlayer.playerId_y,turnover_playerId,turnover_won_by,shot.assistedBy.playerId_y,shot_assisted_playerId,shot_assisted_by,shot.blockedBy.playerId_y,shot_blocked_playerId,shot_blocked_by,shot.takenBy.playerId_y,shot_playerId,shot_taken_by,exclusion.excludedPlayer.playerId_y,exclusion_playerId,exclusion_committed_by,swimoff.homeTeamSwimmer.playerId_y,swimoff_hometeam_playerId,swimoff_hometeam,swimoff.awayTeamSwimmer.playerId_y,swimoff_awayteam_playerId,swimoff_awayteam,swimoff.winnerSwimmer.playerId_y,swim_off_won_by_playerId,swim_off_won_by,turnover.lostPossesionPlayer.playerId_x,turned_over_by_playerId_x,turned_over_by_x,turnover.lostPossesionPlayer.playerId_y,turned_over_by_playerId_y,turned_over_by_y,exclusion.fouledPlayer.playerId_y,exclusion_drawn_by_playerId,exclusion_drawn_by
374883,Third_Period,0,3,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,77.0,,False,False,True,0.475,0.278,0.354,0.86,,,,1353.0,,,1353.0,1353.0,Marco Del Lungo,,,,,,,,,,77.0,77.0,Loren Fatovic,,,,,,,,,,,,,,,,,,,,,
374884,Fourth_Period,8,0,Swim_Off,10044,Croatia,Italy,4.0,6037.0,6037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,Luka Bukic,6037.0,6037.0,Francesco Condemi,6037.0,6037.0,Francesco Condemi,,,,,,,,,
374885,Fourth_Period,7,29,Exclusion,10044,Croatia,Italy,,,,77.0,134.0,0.532,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,77.0,Loren Fatovic,,,,,,,,,,,,,,,,134.0,134.0,Nicholas Presciutti
374886,Fourth_Period,7,16,Turnover,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,Lost_Ball,1358.0,,484.0,,,,,484.0,484.0,Marko Bijac,,,,,,,,,,,,,,,,,,,,,,1358.0,1358.0,Alessandro Velotto,1358.0,1358.0,Alessandro Velotto,,,
374887,Fourth_Period,6,43,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,81.0,,False,False,False,0.522,0.287,0.16,0.69,,,,,,,,,,,,,,,,,,,81.0,81.0,Marko Zuvela,,,,,,,,,,,,,,,,,,,,,
374888,Fourth_Period,6,29,Exclusion,10044,Croatia,Italy,,,,1.0,532.0,0.504,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Josip Vrlic,,,,,,,,,,,,,,,,532.0,532.0,Lorenzo Bruni
374889,Fourth_Period,6,15,Shot,10044,Croatia,Italy,,,,,,,,Power_Play,6037.0,,True,False,False,0.182,0.117,0.239,0.637,,,,75.0,,,75.0,75.0,Toni Popadic,,,,,,,,,,6037.0,6037.0,Francesco Condemi,,,,,,,,,,,,,,,,,,,,,
374891,Fourth_Period,5,56,Turnover,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,Lost_Ball,1410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,1410.0,Konstantin Kharkov,1410.0,1410.0,Konstantin Kharkov,,,
374892,Fourth_Period,5,28,Exclusion,10044,Croatia,Italy,,,,166.0,532.0,0.442,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,166.0,Maro Joković,,,,,,,,,,,,,,,,532.0,532.0,Lorenzo Bruni
374893,Fourth_Period,5,11,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,1354.0,,True,False,False,0.434,0.221,0.686,0.441,1360.0,,,,,,,,,,,,1360.0,1360.0,Gonzalo Echenique,,,,1354.0,1354.0,Francesco Di Fulvio,,,,,,,,,,,,,,,,,,,,,
